name,G,GS,IP,ERA,W,L,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,start BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter war,starter waa
쿠에바스,31,31,173.1,4.1,7,12,19,61.3,7,22.6,2,0,0,103,5.3,14,16,46.7,0,0,5,0,0,5.59,92.13,52.55,5.06,1.98
엄상백,29,29,156.2,4.88,13,10,9,31,2,6.9,10,0,0,96,5.5,18,11,62.1,0,0,9,4,44.4,5.4,93.66,49.69,3.93,1.14
벤자민,28,28,149.2,4.63,11,8,10,35.7,5,17.9,7,0,0,105,6.3,16,12,57.1,0,0,17,6,35.3,5.35,89.54,50.82,3.19,0.53
고영표,18,17,95,5.12,5,8,9,52.9,2,11.8,1,0,0,62,5.9,8,8,50,0,0,10,3,30,5.59,90.76,43.41,1.62,-0.07
조이현,16,9,32.2,4.68,1,2,0,0,0,0,8,0,0,22,6.1,6,3,66.7,0,0,9,5,55.6,3.63,55.11,46.44,0.88,0.3
육청명,13,10,42.1,5.53,1,5,0,0,0,0,6,0,0,26,5.5,4,6,40,0,0,6,4,66.7,4.23,72.5,42.9,0.57,-0.18
성재헌,30,1,2.2,10.13,0,0,0,0,0,0,1,0,0,12,40.5,1,0,100,0,0,26,10,38.5,2.67,60,37,-0.05,-0.09
이선우,6,1,2.2,10.13,0,0,0,0,0,0,1,0,0,10,33.8,0,1,0,0,0,4,3,75,2.67,60,38,-0.09,-0.14
주권,48,1,2.2,16.88,0,1,0,0,0,0,0,0,0,25,84.4,0,1,0,0,0,11,6,54.5,2.67,57,21,-0.16,-0.2
강건,4,1,1.1,27,0,1,0,0,0,0,0,0,0,8,54,0,1,0,0,0,2,0,0,1.33,44,30,-0.21,-0.23
원상현,22,10,41.2,8.42,2,5,1,10,0,0,3,0,0,39,8.4,4,6,40,0,0,16,6,37.5,4.17,79.2,35,-0.25,-0.99
한차현,10,5,14,11.57,0,4,0,0,0,0,2,0,0,7,4.5,1,4,20,0,0,9,5,55.6,2.8,64,33.8,-0.34,-0.59
김민,71,1,1,54,0,1,0,0,0,0,0,0,0,54,100,0,1,0,0,0,33,12,36.4,1,57,17,-0.37,-0.38
문용익,12,0,0,,0,0,0,,0,,0,0,0,8,,0,0,,0,0,4,4,100,,,,,
손동현,42,0,0,,0,0,0,,0,,0,0,0,24,,0,0,,0,0,15,4,26.7,,,,,
박시영,26,0,0,,0,0,0,,0,,0,0,0,10,,0,0,,0,0,5,1,20,,,,,
소형준,6,0,0,,0,0,0,,0,,0,0,0,10,,0,0,,0,0,1,1,100,,,,,
하준호,2,0,0,,0,0,0,,0,,0,0,0,1,,0,0,,0,0,0,0,,,,,,
김민수,75,0,0,,0,0,0,,0,,0,0,0,47,,0,0,,0,0,26,14,53.8,,,,,
이채호,9,0,0,,0,0,0,,0,,0,0,0,2,,0,0,,0,0,7,2,28.6,,,,,
이상동,29,0,0,,0,0,0,,0,,0,0,0,12,,0,0,,0,0,7,3,42.9,,,,,
김영현,8,0,0,,0,0,0,,0,,0,0,0,5,,0,0,,0,0,3,2,66.7,,,,,
박세진,6,0,0,,0,0,0,,0,,0,0,0,13,,0,0,,0,0,0,0,,,,,,
전용주,4,0,0,,0,0,0,,0,,0,0,0,0,,0,0,,0,0,4,3,75,,,,,
우규민,45,0,0,,0,0,0,,0,,0,0,0,30,,0,0,,0,0,13,5,38.5,,,,,
박영현,66,0,0,,0,0,0,,0,,0,0,0,36,,0,0,,0,0,9,6,66.7,,,,,
