Rank,Name,BABIP,G,BIP,BABIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%
8,원태인,0.278,32,479,0.278,44.6,5.6,45,50.6,4.8,0.9,6.7,12
14,레예스,0.323,26,446,0.323,47,5.4,44.6,50,3,0.9,6.4,11.3
5,코너,0.27,56,423,0.27,37.9,7.2,52.2,59.4,2.7,0.6,7.9,7.4
12,이승현,0.304,27,260,0.304,50.9,5.1,41.4,46.5,2.6,1.1,7.1,10.2
21,백정현,0.35,14,260,0.35,46.4,3.6,47.8,51.4,2.2,0.9,9.2,5.8
3,김재윤,0.238,60,189,0.238,33.8,9.7,54.1,63.8,2.4,0.5,9.8,5.2
22,오승환,0.355,11,186,0.355,39.7,6,52.3,58.3,2,0.7,7.8,9.3
20,이승현,0.343,15,181,0.343,34,7.4,55.3,62.8,3.2,0.5,5.1,2.9
17,이승민,0.333,17,171,0.333,42.2,5.9,48.6,54.6,3.2,0.8,13.9,7
19,임창민,0.339,16,165,0.339,32.7,9.9,53.8,63.7,3.5,0.5,3.7,3.3
6,김태훈,0.27,37,159,0.27,41.8,6.7,47.9,54.5,3.6,0.8,6.7,6.1
23,이호성,0.365,9,156,0.365,30.4,5.4,60.1,65.5,4.2,0.5,8.2,7.6
9,황동재,0.29,28,124,0.29,56.3,4.7,38.3,43,0.8,1.3,3.6,7.9
15,김대우,0.325,25,117,0.325,41.8,7.4,47.5,54.9,3.3,0.8,6,7.1
4,최하늘,0.25,58,96,0.25,40.6,5,48.5,53.5,5.9,0.8,3.7,0
11,이상민,0.302,28,96,0.302,47.5,6.1,43.4,49.5,3,1,4.1,3.2
2,최지광,0.236,60,89,0.236,38.5,12.1,48.4,60.4,1.1,0.6,1.8,4.5
13,최채흥,0.313,26,64,0.313,40,4.3,51.4,55.7,4.3,0.7,10.3,8.3
10,육선엽,0.296,28,54,0.296,33.3,3.5,63.2,66.7,0,0.5,7.9,5.3
26,이재익,0.587,4,46,0.587,64.6,2.1,33.3,35.4,0,1.8,11.8,6.9
25,양현,0.395,4,43,0.395,41.7,10.4,45.8,56.3,2.1,0.7,14.8,9.5
16,최성훈,0.325,18,40,0.325,39,7.3,48.8,56.1,4.9,0.7,4.3,7.1
7,송은범,0.276,35,29,0.276,27.6,13.8,58.6,72.4,0,0.4,0,0
17,김대호,0.333,17,18,0.333,36.8,5.3,52.6,57.9,5.3,0.6,9.1,0
1,홍원표,0.188,65,16,0.188,41.2,5.9,52.9,58.8,0,0.7,10,0
24,김윤수,0.375,9,16,0.375,47.1,0,47.1,47.1,5.9,1,0,33.3
27,홍정우,0.667,1,6,0.667,14.3,0,85.7,85.7,0,0.2,16.7,0
28,장필준,0.833,1,6,0.833,66.7,0,33.3,33.3,0,2,0,40
